transcriptID	Gd7_PolII_rep1	Gd7_PolII_rep2	Toll10b_PolII_rep1
FBtr0070439	10.3139110167267	10.3715960130232	10.4042076832286
FBtr0070440	8.35028726164563	8.23854662712554	8.25380541381929
FBtr0070441	10.343969355996	10.4020673472468	10.6619041131905
FBtr0070442	9.15366311039978	9.30539204188415	9.27040693200481
FBtr0070446	8.58874399802963	8.77048495936175	9.07159576729861
FBtr0070447	9.89523689716249	9.94014708538895	10.0148016912848
FBtr0070448	7.25547023547762	7.20828880489597	7.38840458708209
FBtr0070457	13.1009717659586	13.1298557951177	12.9624252870878
FBtr0070460	12.5696719744585	12.7537119319228	12.7074230124326
FBtr0070462	7.74583440201265	7.69308556868319	8.6909075283787
FBtr0070477	10.2131074004136	10.0741586546599	10.2879438938095
FBtr0070479	9.15754264879653	9.37181150519519	9.35468142942606
FBtr0070480	9.59229692139543	9.61004874026618	9.79774965699121
FBtr0070482	9.81339510923659	9.93360700980357	9.71042292769216
FBtr0070484	9.08382977905947	8.9920810532724	8.96364051079172
FBtr0070485	7.86982059673895	8.00095393848902	8.00469387830855
FBtr0070487	10.3247133086832	10.4832434176852	10.7662555120937
FBtr0070488	9.20557063533061	9.21264997624329	9.48777530063241
FBtr0070495	6.63084553305787	6.55990592198709	6.81451342193132
FBtr0070498	9.72693295447781	9.85708794458427	9.81041520500244
FBtr0070499	9.21184588055367	9.27592704008921	9.44583761423569
FBtr0070504	7.48778653148266	7.48870651629153	7.57409498973331
FBtr0070506	7.33152569010072	7.18610162616238	7.42106707438071
FBtr0070507	7.3526669578077	7.09602340921224	7.24495290487497
FBtr0070508	5.6303322161554	5.47073982804845	5.76814898613985
FBtr0070527	7.02277316909958	6.67362220716719	6.67622132266411
FBtr0070530	7.02868112787569	6.65324851338008	6.73397314889071
FBtr0070531	6.50309519498306	6.3352019839244	6.54837189025974
FBtr0070542	7.00992818722243	7.12622322713866	6.76322299845582
FBtr0070568	9.7882649085283	10.0332383299265	9.73029344381117
FBtr0070575	13.5371712660573	13.4111305879776	13.3140311561235
FBtr0070577	7.04020697477721	6.88415040135414	7.11335183499141
FBtr0070584	5.40057616064032	5.51586255197505	6.04199844452096
FBtr0070599	9.06624936608905	9.0713812546257	8.59161574364349
FBtr0070600	8.17555756353232	8.13162287311527	8.17427392572342
FBtr0070608	8.23646215213296	8.19493371679559	8.68583818719774
FBtr0070611	9.29564088326721	9.45310828564605	9.74043538140379
FBtr0070612	9.36374851418941	9.15748478265974	9.66743063734949
FBtr0070625	9.92527953667521	9.98374153445911	9.74364112639606
FBtr0070638	8.89132100985576	9.08788431063228	9.05287623555872
FBtr0070644	8.8625070744757	8.81956320830273	8.99502145138669
FBtr0070645	9.13229091514495	9.09962704487681	8.99811325273212
FBtr0070647	7.96331733246326	7.83374371978499	7.90750621152232
FBtr0070652	9.55735684172416	9.42601748728154	9.51344874991359
FBtr0070656	8.37490415908112	8.55220502780644	8.59225313083568
FBtr0070668	5.58512518573074	5.65421770059786	5.74456999375423
FBtr0070669	9.91794591223454	10.0322185195615	10.2276312292259
FBtr0070670	7.63826616389665	7.88977960265074	7.9983492291621
FBtr0070672	6.81000010226243	6.46072119154939	6.1344295354933
FBtr0070676	9.21195244844464	9.29380575754048	9.12206570193398
FBtr0070678	8.96047731419368	9.12883615914582	9.34325789096449
FBtr0070679	8.01134083719392	7.93071547318078	7.9691714183114
FBtr0070681	10.0441598609682	10.1363318804456	10.411851908099
FBtr0070684	5.65510628089941	5.27296096272961	5.00676603322015
FBtr0070686	9.97135333054107	10.0585795566477	9.95558073277859
FBtr0070691	7.57722816031153	7.28084690969968	7.74335436742365
FBtr0070692	6.48332236519784	6.55235738398298	6.54565506162332
FBtr0070699	9.26622349313207	9.40573059895187	9.38539853299801
FBtr0070704	9.43550793611989	9.64263951673323	9.5667081970581
FBtr0070707	8.82062814576545	8.64623878181377	8.75108256696113
FBtr0070712	8.51836843683454	8.38104622141329	8.52546883712571
FBtr0070714	6.13794543507822	6.00909603282327	6.34170923525403
FBtr0070715	7.32163509148619	7.22710314024841	7.31218680520318
FBtr0070721	8.02636938082115	8.12239053358721	7.96072885254575
FBtr0070723	6.99455615685547	6.91840532189222	6.92534738203377
FBtr0070727	6.71373132736169	6.58498090330961	6.56369755326597
FBtr0070734	6.2647468230676	6.39727314529264	6.46330145333742
FBtr0070735	6.18321514810801	5.83594738041639	6.33807848805771
FBtr0070736	6.65673041992458	6.74034804284486	6.60457994645321
FBtr0070748	8.45511967638953	8.46399403619345	8.51215878984474
FBtr0070751	8.63187707840867	8.6241191245545	8.82281571338074
FBtr0070753	5.61081753304887	5.47613181583316	6.33909734556022
FBtr0070756	8.65402315933606	8.87766901442764	9.0196667431711
FBtr0070757	7.57500832084798	7.59138288168774	7.84110196770247
FBtr0070762	10.9786840541235	11.1500680689412	11.5840089179631
FBtr0070763	9.47827684150224	9.53776480619512	9.66002930555508
FBtr0070772	8.25018851035856	8.46647397395584	8.46349289553445
FBtr0070778	10.3745227256561	10.16499685626	10.2649861308281
FBtr0070782	9.60495184193448	9.71165145599199	9.94199460140469
FBtr0070783	9.6388256800217	9.77944243334475	9.8354644408975
FBtr0070784	7.89860333816629	7.92547565632864	8.28875127089721
FBtr0070794	8.74284954329632	8.97641596207109	9.19635214694273
FBtr0070795	8.36368142486575	8.30204035320483	8.5069530890727
FBtr0070797	9.14348613934023	8.9505904648925	9.44931493467549
FBtr0070798	10.2218080022868	10.2103621046602	10.4864419965668
FBtr0070802	7.9633287925323	7.67014074528293	8.01038670669835
FBtr0070804	5.8895311635144	5.66580228564253	5.54447032829722
FBtr0070813	7.47846863386907	7.55163821972727	7.46802092400123
FBtr0070814	8.43231630228534	8.31306635451215	8.40034607123855
FBtr0070816	6.40465231563353	6.01355064638945	6.35678771711467
FBtr0070817	5.54726518659892	5.8414549740866	5.89382029771236
FBtr0070821	6.92914530182747	6.92799493158215	6.77519000024591
FBtr0070825	8.32902265282919	8.3110368210359	8.40908043988124
FBtr0070827	7.62105413611778	7.63185453014911	7.5639217740915
FBtr0070828	6.20830486034887	6.40675572156364	6.60198757544477
FBtr0070829	9.64206772950161	9.73095799286913	9.62041321440491
FBtr0070830	9.76971986615569	9.81353373416644	10.0448799757865
FBtr0070839	9.15025095812592	9.2391201328821	9.26780214674236
FBtr0070841	8.44953107282975	8.61132687970319	8.29889083257462
FBtr0070843	11.3186826268556	11.3277053460701	11.3076613666222
FBtr0070844	7.72119300959869	7.58478850468837	7.59588298572005
FBtr0070846	9.94142404167784	10.0606311363751	10.0038712031629
FBtr0070847	10.2164927273628	10.2690024740006	10.2342124933682
FBtr0070848	9.8393242112011	9.95460295973333	9.95760959686909
FBtr0070852	8.34027192696066	8.50079692784794	8.58128282202473
FBtr0070861	8.40758063366229	8.38149478227692	8.46779527931448
FBtr0070862	7.57291276343992	7.63701342269967	7.7188048196423
FBtr0070863	7.44315319497644	7.29231746024346	7.49641407808168
FBtr0070864	8.34193062259197	8.23279097069503	7.9927147605156
FBtr0070866	8.41356205527876	8.36493257097004	8.41050904227552
FBtr0070867	7.03410290914992	7.35646170009965	7.31872653294599
FBtr0070878	7.69227792741246	7.56383001129032	7.61032259205171
FBtr0070879	7.89892492179661	7.83803496047745	7.86392385839944
FBtr0070881	7.48833971132927	7.35168063198675	7.43021352999668
FBtr0070884	9.61375910037877	9.79184279270974	9.65144710420263
FBtr0070886	7.96892291356366	7.90169110469758	7.84373492346581
FBtr0070888	7.38563367386503	7.10136149716905	7.05530133109196
FBtr0070890	9.32302041727413	9.26571525984945	9.11823525317949
FBtr0070891	8.52623557732491	8.34460223587842	8.37486545175818
FBtr0070892	9.46741961541424	9.39856053386937	9.4058500152357
FBtr0070894	8.71662849799733	8.93245580482192	9.26516726467749
FBtr0070897	9.11081662601632	9.28124631646706	9.58854235883011
FBtr0070899	10.1512555528939	10.3255691543819	10.6018836387347
FBtr0070900	7.68458683330515	7.68170606407679	7.59233713623313
FBtr0070905	9.50188270786984	9.66426045267807	10.0464811484386
