ENSEMBL	ENTREZID	SYMBOL	gd7_3h_rep1	gd7_3h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll9_3h_rep1	toll9_3h_rep2	l2fc_toll10b_vs_gd7	padj_toll10b_vs_gd7	l2fc_toll9_vs_gd7	padj_toll9_vs_gd7	l2fc_toll9_vs_toll10b	padj_toll9_vs_toll10b
FBgn0035968	39055	Slc45-1	4.21476030469473	3.95947882718001	3.97511517288737	4.04123647391218	4.80180995393037	4.52671392375177	NA	NA	1.5443143407275	0.0345593854563157	1.96616516400074	0.0104698556438121
FBgn0053267	2768969	CG33267	5.23441574679422	5.08446760902348	5.10630334178419	4.9938656447193	4.71042264476207	4.66407311095487	NA	NA	-1.2106480852941	0.0352338617085531	NA	NA
FBgn0036143	39261	CG14142	3.86023184284761	3.83363948428929	3.9216100032642	4.13913735866808	4.39721189517333	4.28783561360759	NA	NA	1.64895318535172	0.0385746655138475	NA	NA
FBgn0034031	36724	CG12963	5.11007580149983	5.12759405086083	4.75098349714982	4.95358006141927	4.56108282182872	4.69333512997295	NA	NA	-1.23069839628712	0.0386133184850286	NA	NA
FBgn0031422	33425	PIG-Wa	4.59568122763871	4.57485385645154	4.78658503654328	4.71108417434535	5.08169546901802	5.06461071291127	NA	NA	1.23249127104438	0.0390305850586653	NA	NA
FBgn0029002	44787	miple2	5.18611693946167	4.98147355763144	5.18869696778912	5.40129686474243	5.45635401822232	5.71993405021206	NA	NA	1.09667650887677	0.0391147005169438	NA	NA
FBgn0051053	318572	CG31053	4.02854552084439	3.85073695703508	3.55463305260745	3.69054821778273	3.42492309382556	3.50141794437131	NA	NA	-1.87365383761523	0.0393918012968363	NA	NA
FBgn0015316	34226	Try29F	5.18807103781398	5.05652147330478	5.53847110069587	5.46050978590369	5.59811454815471	5.57864545021156	NA	NA	1.02998836883699	0.0394559240166658	NA	NA
FBgn0031589	33626	CG3714	5.27769712611188	5.20711353810204	5.04462292475309	4.78682029439249	4.6201167462285	4.85450810899161	NA	NA	-1.2025962547046	0.0401933637797553	NA	NA
FBgn0031697	33760	CG14024	4.6611980829215	4.86824396200143	4.39498462777873	4.43952849299831	4.22144798956094	4.31543142021403	NA	NA	-1.37793521359797	0.0408231456084796	NA	NA
FBgn0036859	40099	CG14085	3.6163732311397	3.7859353549583	3.76396534288611	3.88757673887011	4.22778962826989	4.15145678574014	NA	NA	1.71187496044229	0.0408358339826041	NA	NA
FBgn0030359	32161	CG18130	5.04866467938361	4.99771272001941	4.49080310594139	4.76710389131395	4.62486042718271	4.38963686613163	NA	NA	-1.29460824380499	0.0431741763839162	NA	NA
FBgn0033913	36577	CG8468	4.70824001940008	4.59616262765177	4.98247472330264	5.06567521229787	5.00762060927518	5.24128116152971	NA	NA	1.21517756576441	0.0439359757605359	NA	NA
FBgn0027578	43413	CG14526	4.31578935844345	4.43436759937023	4.6557809022554	4.73436208336818	4.93753438844034	4.73123041244305	NA	NA	1.32393759114394	0.0459122762662985	NA	NA
FBgn0011276	31249	HLH3B	4.98027900650293	5.02907476765191	5.08589024473932	5.06181779592448	5.51468603252887	5.42123097684735	NA	NA	1.037305647146	0.0475948839477625	NA	NA
FBgn0051954	33572	CG31954	4.37449448468812	4.29231823721612	4.26507258960486	4.219819165336	4.89695151389961	4.78649764420426	NA	NA	1.29702885944453	0.0482833755201759	1.66906657812865	0.014706400288251
