Geneid	K27ac_Geneid
Region4223	Region1152
Region4228	Region1153
Region4240	Region1154
Region4242	Region1155
Region4242	Region1156
Region4246	Region1157
Region4262	Region1158
Region4263	Region1158
Region4263	Region1159
Region4263	Region1160
Region4266	Region1161
Region4270	Region1162
Region4272	Region1163
Region4272	Region1164
Region4272	Region1165
Region4275	Region1166
Region4275	Region1167
Region4275	Region1168
Region4281	Region1169
Region4281	Region1170
Region4281	Region1171
Region4287	Region1172
Region4287	Region1173
Region4289	Region1174
Region4291	Region1175
Region4291	Region1176
Region4291	Region1177
Region4295	Region1178
Region4304	Region1179
Region4305	Region1180
Region4307	Region1181
Region4310	Region1182
Region4316	Region1183
Region4316	Region1184
Region4316	Region1185
Region4320	Region1186
Region4324	Region1187
Region4340	Region1188
Region4340	Region1189
Region4344	Region1190
Region4346	Region1191
Region4348	Region1192
Region4387	Region1193
Region4409	Region1194
Region4409	Region1195
Region4410	Region1196
Region4411	Region1197
Region4413	Region1198
Region4427	Region1199
Region4429	Region1200
Region4429	Region1201
Region4435	Region1202
Region4435	Region1203
Region4435	Region1204
Region4438	Region1205
Region4438	Region1206
Region4438	Region1207
Region4439	Region1208
Region4441	Region1209
Region4442	Region1210
Region4443	Region1211
Region4444	Region1212
Region4445	Region1213
Region4445	Region1214
Region4447	Region1215
Region4450	Region1216
Region4451	Region1217
Region4453	Region1218
Region4457	Region1219
Region4460	Region1220
Region4461	Region1221
Region4462	Region1221
Region4468	Region1222
Region4470	Region1223
Region4472	Region1224
Region4473	Region1225
Region4473	Region1226
Region4476	Region1227
Region4476	Region1228
Region4487	Region1229
Region4488	Region1230
Region4490	Region1231
Region4490	Region1232
Region4492	Region1233
Region4493	Region1234
Region4494	Region1235
Region4495	Region1236
Region4500	Region1237
Region4501	Region1238
Region4503	Region1239
Region4503	Region1240
Region4504	Region1241
Region4508	Region1242
Region4508	Region1243
Region4508	Region1244
Region4508	Region1245
Region4509	Region1246
Region4513	Region1247
Region4534	Region1248
Region4539	Region1249
Region4539	Region1250
Region4539	Region1251
Region4542	Region1252
Region4544	Region1253
Region4546	Region1254
Region4547	Region1255
Region4554	Region1256
Region4556	Region1257
Region4557	Region1258
Region4560	Region1259
Region4560	Region1260
Region4572	Region1261
Region4575	Region1262
Region4575	Region1263
Region4600	Region1264
Region4607	Region1265
Region4610	Region1266
Region4611	Region1267
Region4611	Region1268
Region4612	Region1269
Region4615	Region1270
Region4616	Region1271
Region4616	Region1272
Region4617	Region1273
Region4619	Region1274
Region4619	Region1275
Region4619	Region1276
Region4619	Region1277
Region4619	Region1278
Region4619	Region1279
Region4625	Region1280
Region4625	Region1281
Region4627	Region1282
Region4644	Region1283
Region4646	Region1284
Region4648	Region1285
Region4648	Region1286
Region4650	Region1287
Region4650	Region1288
Region4652	Region1289
Region4653	Region1290
Region4654	Region1291
Region4656	Region1292
Region4659	Region1293
Region4661	Region1294
Region4661	Region1295
Region4680	Region1296
Region4681	Region1297
Region4682	Region1298
Region4684	Region1299
Region4685	Region1300
Region4685	Region1301
Region4685	Region1302
Region4689	Region1303
Region4689	Region1304
Region4691	Region1305
Region4693	Region1306
Region4696	Region1307
Region4697	Region1308
Region4710	Region1309
Region4710	Region1310
Region4720	Region1311
Region4720	Region1312
Region4721	Region1313
Region4728	Region1314
Region4728	Region1315
Region4729	Region1316
Region4729	Region1317
Region4735	Region1318
Region4741	Region1319
Region4741	Region1320
Region4742	Region1321
Region4743	Region1322
Region4756	Region1323
Region4757	Region1324
Region4763	Region1325
Region4764	Region1326
Region4764	Region1327
Region4764	Region1328
Region4764	Region1329
Region4764	Region1330
Region4764	Region1331
Region4777	Region1332
Region4793	Region1333
Region4794	Region1334
Region4795	Region1335
Region4797	Region1336
Region4797	Region1337
Region4798	Region1338
Region4798	Region1339
Region4803	Region1340
Region4805	Region1341
Region4805	Region1342
Region4805	Region1343
Region4806	Region1344
Region4807	Region1345
Region4812	Region1346
Region4813	Region1347
Region4814	Region1348
Region4820	Region1349
Region4823	Region1350
Region4826	Region1351
Region4826	Region1352
Region4830	Region1353
Region4831	Region1354
Region4832	Region1355
Region4837	Region1356
Region4838	Region1357
Region4844	Region1358
Region4844	Region1359
Region4844	Region1360
Region4845	Region1361
Region4846	Region1362
Region4846	Region1363
Region4846	Region1364
Region4849	Region1365
Region4849	Region1366
Region4849	Region1367
Region4853	Region1368
Region4855	Region1369
Region4858	Region1370
Region4875	Region1371
Region4886	Region1372
Region4886	Region1373
Region4895	Region1374
Region4895	Region1375
Region4896	Region1376
Region4896	Region1377
Region4896	Region1378
Region4898	Region1379
Region4903	Region1380
Region4906	Region1381
Region4906	Region1382
Region4907	Region1382
Region4908	Region1382
Region4909	Region1382
Region4910	Region1382
Region4911	Region1383
Region4912	Region1384
Region4925	Region1385
Region4925	Region1386
Region4926	Region1387
Region4929	Region1388
Region4935	Region1389
Region4935	Region1390
Region4943	Region1391
Region4944	Region1392
Region4944	Region1393
Region4946	Region1394
Region4957	Region1395
Region4957	Region1396
Region4963	Region1397
Region4964	Region1398
Region4969	Region1399
Region4969	Region1400
Region4969	Region1401
Region4970	Region1402
Region4970	Region1403
Region4970	Region1404
Region4975	Region1405
Region4976	Region1406
Region4976	Region1407
Region4985	Region1408
Region4985	Region1409
Region4986	Region1410
Region4986	Region1411
Region4987	Region1412
Region4987	Region1413
Region4988	Region1414
Region4988	Region1415
Region4988	Region1416
Region5013	Region1417
Region5023	Region1418
Region5030	Region1419
Region5032	Region1420
Region5032	Region1421
Region5040	Region1422
Region5044	Region1423
Region5044	Region1424
Region5046	Region1425
Region5047	Region1426
Region5049	Region1427
Region5051	Region1428
Region5053	Region1429
Region5054	Region1430
Region5054	Region1431
Region5058	Region1432
Region5058	Region1433
Region5060	Region1434
Region5061	Region1435
Region5063	Region1436
Region5071	Region1437
Region5071	Region1438
Region5079	Region1439
Region5079	Region1440
Region5121	Region1441
Region5121	Region1442
Region5123	Region1443
Region5123	Region1444
Region5124	Region1445
Region5124	Region1446
Region5124	Region1447
Region5130	Region1448
Region5130	Region1449
Region5131	Region1450
Region5136	Region1451
Region5137	Region1451
Region5138	Region1452
Region5138	Region1453
Region5138	Region1454
Region5139	Region1455
Region5143	Region1456
Region5144	Region1457
Region5144	Region1458
Region5162	Region1459
Region5163	Region1459
Region5163	Region1460
Region5163	Region1461
Region5169	Region1462
Region5173	Region1463
Region5179	Region1464
Region5179	Region1465
Region5180	Region1466
Region5180	Region1467
Region5182	Region1468
Region5184	Region1469
Region5188	Region1470
Region5188	Region1471
Region5191	Region1472
Region5191	Region1473
Region5193	Region1474
Region5193	Region1475
Region5204	Region1476
Region5206	Region1477
Region5206	Region1478
Region5223	Region1479
Region5227	Region1480
Region5228	Region1481
Region5228	Region1482
Region5228	Region1483
Region5228	Region1484
Region5229	Region1485
Region5229	Region1486
Region5229	Region1487
Region5229	Region1488
Region5232	Region1489
Region5233	Region1490
Region5234	Region1492
Region5238	Region1494
Region5239	Region1495
Region5239	Region1496
Region5241	Region1497
Region5241	Region1498
