geneID	ChIP_region	ChIP_factor	ChIP_direction	Gd7	Toll10b	Toll9
FBgn0039039	Region15340	Toll10b	Up	-1.6945759737927	2.49621365164568	-0.953417961278411
FBgn0039039	Region15341	Toll10b	Up	-1.15210240795843	2.42848774264481	-1.6501425875093
FBgn0039039	Region15343	Toll10b	Up	-2.26378328538878	3.0436171388772	-0.874916467266216
FBgn0039039	Region15344	Toll10b	Up	-1.4101937220818	3.13311392737385	-2.23981925668212
FBgn0039039	Region15345	Toll10b	Up	-1.68084523677701	2.82247509288067	-1.42036094978663
FBgn0039039	Region15346	Toll10b	Up	-1.93065247738941	2.75994685313969	-0.971136334334929
FBgn0039288	Region15728	Gd7	Up	2.73065580418659	-2.2470644095704	-0.89579228479973
FBgn0039288	Region15729	Gd7	Up	2.57105402714327	-1.26617014630595	-2.0072801643523
FBgn0002734	Region15815	Toll9	Up	-0.766991385591136	-0.745396951849498	2.13741529637185
FBgn0262473	Region15885	Toll9	Down	1.61316774950982	-0.231047228612524	-2.03125079524158
FBgn0003137	Region16101	Toll10b	Up	-1.02606154091141	2.35542092792432	-1.7334825979617
FBgn0000492	Region16281	Toll9	Up	-1.48783401328565	0.0482121332277314	2.09931620621557
FBgn0000492	Region16283	Toll9	Up	-0.472404640693838	-1.74172608634019	3.07359362669783
FBgn0000492	Region16285	Toll9	Up	-0.688713993253822	-1.22823668914541	2.68495480634459
FBgn0001297	Region16335	Gd7	Up	3.26144871240015	-2.87232133189392	-0.811731457980585
FBgn0001297	Region16336	Gd7	Up	3.01389186506357	-2.3853750909607	-1.11853068638772
FBgn0001297	Region16338	Gd7	Up	2.62518507170283	-1.71205314787781	-1.47522715723611
FBgn0004606	Region16532	Toll10b	Up	-2.09503067632057	3.4162526391988	-1.63100502299515
FBgn0004606	Region16536	Toll10b	Up	-2.22612503017099	3.44271833975978	-1.476469402507
FBgn0002780	Region16802	Toll9	Down	-0.41740856282671	2.73128119624973	-3.13421116282715
