geneID	min	max	mean	sd	overQC
Region5022	6.30971883799962	6.78878317628237	6.5633586890333	0.158066949642396	12
Region5023	6.83993538770921	8.22620616992066	7.6409543180093	0.542457903366112	12
Region5024	7.07122781374491	7.79287492935426	7.48959547485264	0.257865695886367	12
Region5025	6.70269238649169	8.22733734872838	7.63006056200283	0.572285478435533	12
Region5026	6.90815622330167	7.76866265626172	7.45459896744629	0.255524996406978	12
Region5027	6.81628576854781	8.33575992365412	7.71994156976036	0.587879332008296	12
Region5028	6.778631380091	7.49914802842142	7.23824910203335	0.212812057127106	12
Region5029	6.9506599694793	8.46104271989264	7.77848080579258	0.562205811174049	12
Region503	7.77080196513086	8.2636045393964	8.06471400328071	0.143138117653191	12
Region5030	6.96163352445423	7.718100468089	7.35255837060954	0.223833629666837	12
Region5031	6.97276159289208	8.54395993596606	7.91686482517013	0.5499961977464	12
Region5032	7.47007141302664	7.86783490556195	7.65530452711148	0.135250049573277	12
Region5033	6.75208607108376	8.45166629058692	7.6906034827142	0.580366424584479	12
Region5034	6.95436686032229	7.88274764172801	7.49887950753991	0.29848393495531	12
Region5035	6.98877360576842	8.50376328744569	7.77306325576189	0.536686112724442	12
Region5036	7.00430490548528	7.95198373161875	7.57120321706101	0.280612376124556	12
Region5037	6.43780359319272	7.85113801791474	7.1913052989065	0.533295798293035	12
Region5038	6.55429775213832	8.25656170405864	7.53014736174511	0.618727423998835	12
Region5039	5.83995299496966	6.25806263796099	6.04986333206288	0.13260633716077	12
Region504	7.20211824608014	7.89534850036191	7.62159594717114	0.221860511153207	12
Region5040	7.27804500401428	7.88218272476147	7.54790355500102	0.21080166316187	12
Region5041	6.28589596231552	6.76740288339537	6.53935509072005	0.137986635261411	12
Region5042	5.82626055881647	6.57515306708077	6.2134577460574	0.263700424472397	12
Region5043	5.97190542102427	6.33577376592711	6.17041295854855	0.128811054361145	12
Region5044	6.08683199579153	6.71198465910204	6.43299958281415	0.215300107136068	12
Region5045	8.32641165265462	8.84235987472028	8.49548858863061	0.166364538427178	12
Region5046	8.69462301167587	9.12592040948688	8.88084664072757	0.166553794284136	12
Region5047	6.12297084273557	7.01166261209714	6.69869820300534	0.237081580009794	12
Region5048	6.27441691419482	7.04127127483007	6.7226926358609	0.222005397764842	12
Region5049	6.08191370778533	7.75021565712308	7.05123845814765	0.592615013238218	12
Region505	6.38579872863683	7.04143123281746	6.75303137633845	0.222739588750688	12
Region5050	6.11524787703445	6.81781310715961	6.51177844998667	0.250107660481995	12
