geneID	ATAC_region	ATAC_factor	ATAC_direction	Time	Gd7	Toll10b	Toll9
FBgn0015609	Region2582	Toll10b	Up	-0.0556498160314608	-2.72813972873626	3.02729247576579	-0.842146553537905
FBgn0015609	Region2585	Toll10b	Up	0.825664591928647	-3.15085739121912	3.98939096140871	-1.64536939066436
FBgn0015609	Region2587	Toll10b	Up	0.981169783457916	-1.28375654144589	2.99627626882862	-2.54092788017734
FBgn0015609	Region2588	Toll10b	Up	2.24098817421116	-1.58815122326282	2.54159051919234	-1.55358458601972
FBgn0032682	Region2627	Toll10b	Down	1.65513386979952	1.89775140167145	-4.04045278075167	3.22557457233418
FBgn0032693	Region2648	Toll10b	Up	-0.856597678783129	-1.16666014041948	2.92789615340045	-2.58877501047513
FBgn0032693	Region2672	Toll10b	Up	-1.86398183164423	-1.65236474741903	1.95033154871066	-0.669409270285429
FBgn0003896	Region2719	Gd7	Up	-0.563359873965064	2.93739909586069	-1.42248403487825	-1.59985541132353
FBgn0003896	Region2722	Gd7	Up	0.776672638697841	2.72625067937644	-1.47829193585828	-1.26918112864805
FBgn0003896	Region2723	Gd7	Up	-0.270725063791583	2.60070201385231	-1.20077758808328	-1.49650817609422
FBgn0003896	Region2724	Gd7	Up	-0.825588878732567	3.05974759629614	-1.02363162177077	-2.29157042309591
FBgn0003896	Region2730	Gd7	Up	0.973822083426557	3.80174602412219	-2.31568820651772	-1.42299174108857
FBgn0003896	Region2731	Gd7	Up	1.25514846784366	1.41288646942216	-0.482645887879226	-1.04456741567311
FBgn0003896	Region2732	Gd7	Up	-0.526529067378936	3.74848245697639	-2.34237416822596	-1.32237335599453
FBgn0015380	Region2794	Toll9	Up	0.609564740108179	-1.64345237935496	0.198066057908536	1.71080647361072
FBgn0015380	Region2799	Toll9	Up	1.41083031964931	-1.26584340763103	-0.0674684645108591	1.61794604657662
FBgn0051687	Region2991	Toll9	Down	0.0597567360091974	1.95824647423087	-0.273532972949528	-1.98729442455902
FBgn0051687	Region3003	Toll9	Down	-1.11394775214341	-0.902973156949923	4.41432093659132	-4.93485164748868
FBgn0051687	Region3004	Toll9	Down	-0.316550192346047	0.131859240267345	2.94914881740005	-4.18304838722892
FBgn0051687	Region3008	Toll9	Down	-0.330283099091712	-0.062317257260184	2.88622608913056	-3.86312441239784
FBgn0039993	Region3613	Toll9	Up	0.886677329008905	0.284660260941441	-1.51713695966851	1.72698906041523
FBgn0039994	Region3929	Toll9	Up	0.0213493595490896	-1.12531641699513	-0.378118019105408	1.87243062371457
FBgn0039994	Region3938	Toll9	Up	-1.62232389433814	-0.270617065358258	-1.40996410858884	2.25010009284254
FBgn0039994	Region3951	Toll9	Up	-0.873956782821863	0.629990111994167	-2.31518110256581	2.39964601750442
FBgn0039994	Region3955	Toll9	Up	0.867825883290244	-1.00109858602376	-0.718760300638602	2.18749970229185
FBgn0003460	Region4388	Gd7	Up	-0.734422641545358	2.32751843104765	-1.52618313246228	-0.723189979505432
FBgn0024189	Region4635	Toll10b	Up	1.28046217603739	-1.14967559884313	2.63494131112897	-2.20951302153391
FBgn0024189	Region4636	Toll10b	Up	1.18524629062078	-2.13842992586478	2.9784461884407	-1.48634987971417
FBgn0033391	Region4677	Gd7	Up	0.0921716022451929	4.32560331649197	-2.47643386241314	-1.83512825278789
FBgn0004360	Region4744	Gd7	Up	1.34463980353642	3.19833111176734	-3.18175084611452	0.486121563438497
FBgn0004360	Region4746	Gd7	Up	-0.406262682694762	2.6098725457251	-1.9591378340742	-0.472783206393797
FBgn0011656	Region4810	Toll10b	Up	-0.457478774801046	-0.709743568780585	1.84739819272326	-1.66522097248946
FBgn0011656	Region4811	Toll10b	Up	0.66435158060911	-1.43539742147153	2.10903127697546	-1.14749331164509
FBgn0011656	Region4812	Toll10b	Up	0.238057043997821	-2.35112024210272	3.92119934682889	-2.51634936024416
FBgn0011656	Region4813	Toll10b	Up	0.116121621809171	-3.64358407300543	5.80968010388701	-3.53519884084469
FBgn0011656	Region4814	Toll10b	Up	-0.112149001177869	-2.94499228233459	4.76571070953902	-2.95281043684262
FBgn0011656	Region4815	Toll10b	Up	0.39009275016064	-2.95396929106266	4.48904769675049	-2.56448375017738
FBgn0011656	Region4816	Toll10b	Up	-0.70365796120939	-1.14024509264652	2.64914577768292	-2.24026277210928
FBgn0011656	Region4817	Toll10b	Up	-0.739233402172342	-1.07088268514205	2.06100061957053	-1.52135267447822
FBgn0262169	Region4841	Toll9	Up	1.18670919896833	0.145476434939912	-1.32656804885873	1.63473493172439
FBgn0033483	Region4846	Gd7	Up	-0.381321698466452	2.48984497688518	-1.45921144757152	-1.01024585184732
FBgn0033483	Region4847	Gd7	Up	-1.42927072966853	3.0935234136891	-1.40459222254758	-1.81246564988523
FBgn0033483	Region4848	Gd7	Up	-1.20647488908152	3.11381960036978	-0.803776114382116	-2.65674236456182
FBgn0033483	Region4859	Gd7	Up	0.39839533964298	2.80460774550466	-1.26125228186744	-1.65978479198343
FBgn0003396	Region5007	Gd7	Up	1.32690482151496	1.71309588403325	-0.878013978442063	-0.86697073115899
FBgn0003396	Region5019	Gd7	Up	-0.974207181542445	2.11744565489547	-1.97517328963203	0.142683248529659
FBgn0003396	Region5027	Gd7	Up	1.6865843506979	2.34212118914773	-0.788769030491079	-1.74699105945691
FBgn0001269	Region5075	Toll9	Up	-0.52925117817571	-0.906661956901111	-0.997302603974497	2.45373277258035
FBgn0000577	Region5105	Toll9	Up	-0.128893336503606	0.416146665709182	-1.83644530447964	2.00418631415661
FBgn0000577	Region5106	Toll9	Up	2.12439250515049	-2.76904835164731	0.366480103368221	2.83783335099489
FBgn0000577	Region5110	Toll9	Up	-0.286771978331222	-1.79069774046226	-0.280881005108211	2.54182172483421
FBgn0000577	Region5114	Toll9	Up	-0.0932602381380183	0.360729281118837	-1.83758284312479	2.07254025830452
FBgn0033638	Region5135	Toll10b	Up	1.07680509891375	-1.37725897123009	1.97095956049693	-1.02917685988377
FBgn0033652	Region5161	Toll9	Up	1.46074897069869	-2.33720920162014	-0.386526787965585	3.34475626204115
