gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0037347	113	65	127	132	74	95	182	118	95	128	80	214
FBgn0261004	443	238	399	388	346	406	446	457	395	357	241	601
FBgn0017550	477	209	236	311	219	320	343	275	353	344	147	370
FBgn0019637	814	431	313	277	479	514	308	380	583	577	186	431
FBgn0044823	7	3	1	5	4	4	5	3	7	4	3	3
FBgn0037350	77	41	22	26	22	27	32	19	40	36	5	28
FBgn0037351	1410	890	1084	993	799	949	836	1201	1179	1083	671	980
FBgn0051551	138	65	73	39	89	119	57	41	121	145	24	63
FBgn0051549	23	10	5	8	14	24	6	10	19	13	5	8
FBgn0037354	470	304	190	153	238	256	195	229	329	262	113	169
FBgn0051546	62	38	36	38	21	30	68	17	37	42	25	56
FBgn0051548	108	49	56	46	33	40	61	55	61	54	34	39
FBgn0037356	1426	853	516	416	773	824	521	679	1023	998	296	515
FBgn0027951	1594	730	547	762	681	775	762	566	1092	1080	293	747
FBgn0262125	241	136	303	261	146	203	318	290	181	192	126	280
FBgn0037358	225	130	78	136	104	147	167	109	195	195	88	123
FBgn0037359	489	267	94	119	207	215	121	112	302	261	65	112
FBgn0037360	1767	825	406	553	685	884	554	432	1203	1185	265	652
FBgn0046222	1035	459	352	434	496	585	398	393	670	686	183	556
FBgn0010772	607	311	351	285	312	380	323	328	467	487	182	473
FBgn0037363	8195	3746	476	696	2475	3009	704	532	4213	3922	273	755
FBgn0037364	115	65	16	66	33	32	92	12	63	69	18	50
FBgn0261261	286	122	113	145	113	142	167	94	214	184	68	175
FBgn0037365	5	1	6	0	3	8	9	4	7	4	1	6
FBgn0004878	23	10	144	25	68	99	53	115	128	99	33	105
FBgn0037368	251	158	87	105	139	152	106	106	194	221	63	126
FBgn0037369	46	30	34	42	21	19	49	21	40	42	23	32
FBgn0037370	2622	1390	1121	1363	1002	1204	1558	1570	1948	1798	834	1805
FBgn0037371	1014	531	345	432	564	594	382	387	696	693	222	439
FBgn0027497	535	250	219	251	311	310	260	265	438	399	93	265
FBgn0037372	327	185	151	199	166	231	257	190	312	311	130	250
FBgn0266672	772	334	374	406	473	502	420	417	589	561	225	570
FBgn0027608	36	18	14	10	22	36	30	21	22	18	12	19
FBgn0037374	274	164	85	112	131	150	123	103	151	149	64	113
FBgn0037375	40	19	14	29	29	35	45	23	40	29	19	37
FBgn0037376	213	98	103	197	77	115	195	105	164	210	89	244
FBgn0028690	495	218	265	342	184	242	383	269	326	358	171	459
FBgn0037377	149	73	73	131	56	74	145	66	142	130	64	181
FBgn0037378	196	112	72	104	77	127	112	87	133	157	66	98
FBgn0037379	345	159	118	137	80	84	147	77	151	126	50	106
FBgn0263353	12	8	7	8	8	6	9	5	11	10	8	5
FBgn0261561	11	3	5	7	7	4	9	4	7	8	8	6
FBgn0037382	156	77	149	200	104	122	204	188	176	167	78	274
FBgn0284081	4	0	1	1	2	1	0	2	2	0	3	2
FBgn0037383	323	178	182	205	130	139	237	215	151	159	94	227
FBgn0037384	166	75	129	157	117	121	174	144	151	133	65	162
FBgn0037385	6	3	3	1	1	2	4	0	2	1	2	4
FBgn0037386	8	5	6	2	1	6	6	4	9	5	5	5
FBgn0037387	12	4	4	2	6	5	4	2	5	7	4	6
FBgn0037388	16	12	1	2	10	10	5	0	7	19	5	1
FBgn0029088	262	114	223	253	166	185	297	248	219	207	156	348
FBgn0085316	1	0	4	1	3	1	1	1	1	1	2	1
FBgn0028436	139	77	68	62	76	89	68	67	111	105	49	100
FBgn0037391	80	59	83	125	47	50	108	90	63	69	44	108
FBgn0083949	31	15	10	23	26	28	35	13	34	27	21	27
FBgn0040679	0	0	0	1	0	0	2	0	0	1	0	0
FBgn0011281	4	3	2	2	3	5	5	4	6	6	1	3
FBgn0010403	2	0	0	1	0	2	1	0	0	2	0	1
FBgn0003261	3455	1777	1931	2307	1596	2057	2453	1839	2903	2863	1101	3022
FBgn0037395	22	15	3	7	6	8	10	1	10	13	2	6
FBgn0037396	4	0	5	5	1	1	2	1	5	1	2	3
FBgn0037398	13	8	6	5	5	11	11	5	13	8	8	14
FBgn0037399	3	1	3	1	3	1	5	0	4	3	3	6
FBgn0026077	14	12	7	4	2	2	9	4	9	5	6	10
FBgn0046878	5	3	2	6	2	3	3	1	8	3	5	4
FBgn0046876	4	0	3	1	4	6	4	4	2	2	0	6
FBgn0046875	13	7	2	6	5	6	1	2	13	2	9	6
FBgn0037402	1	2	1	0	0	1	4	0	1	2	4	1
FBgn0051559	21	6	7	6	1	3	14	6	10	9	9	13
FBgn0037405	32	11	12	3	16	11	11	6	16	18	12	11
FBgn0037406	2	5	1	3	1	4	3	0	4	3	6	2
FBgn0037408	41	20	15	11	28	36	21	22	34	44	21	18
FBgn0037409	8	8	3	5	2	5	13	6	6	3	8	8
FBgn0037410	11	7	5	9	4	9	9	4	7	3	8	26
FBgn0037411	7	3	0	1	2	4	5	2	5	3	4	1
FBgn0037412	4	2	5	8	6	5	5	3	2	6	3	5
FBgn0037413	3	2	6	2	2	1	5	4	5	0	1	1
FBgn0027527	42	29	19	6	9	16	17	11	17	16	29	35
FBgn0037414	22	4	6	0	5	8	8	3	11	4	7	15
FBgn0037415	7	2	3	1	3	1	3	0	7	0	1	2
FBgn0037416	9	6	8	2	5	12	6	4	10	11	9	9
FBgn0037417	11	7	10	5	1	5	11	5	7	3	4	5
FBgn0037418	5	4	1	3	4	6	6	2	6	3	4	5
FBgn0037419	1	4	5	2	11	2	12	4	5	2	2	7
FBgn0037420	5	5	1	1	0	7	3	4	3	2	0	0
FBgn0037421	5	3	5	3	3	4	4	1	6	3	0	5
