"queryHits" "subjectHits"
"801" 207 18503
"802" 207 18504
"803" 207 18505
"804" 207 18506
"805" 207 18507
"806" 207 18508
"807" 207 18509
"808" 208 18584
"809" 208 18585
"810" 208 18586
"811" 208 18587
"812" 208 18588
"813" 208 18589
"814" 209 18912
"815" 209 18913
"816" 209 18914
"817" 209 18915
"818" 210 19027
"819" 210 19028
"820" 210 19029
"821" 210 19030
"822" 210 19031
"823" 210 19032
"824" 210 19033
"825" 210 19034
"826" 210 19035
"827" 210 19036
"828" 210 19037
"829" 210 19038
"830" 211 19155
"831" 211 19156
"832" 211 19157
"833" 211 19158
"834" 211 19159
"835" 211 19160
"836" 214 19300
"837" 214 19301
"838" 214 19302
"839" 214 19303
"840" 214 19304
"841" 214 19305
"842" 214 19306
"843" 214 19307
"844" 214 19308
"845" 217 20184
"846" 217 20185
"847" 217 20186
"848" 218 20599
"849" 218 20600
"850" 218 20601
"851" 218 20602
"852" 218 20603
"853" 218 20604
"854" 218 20605
"855" 218 20606
"856" 218 20607
"857" 218 20608
"858" 218 20609
"859" 218 20610
"860" 218 20611
"861" 218 20612
"862" 218 20613
"863" 218 20614
"864" 218 20615
"865" 218 20616
"866" 221 20925
"867" 221 20926
"868" 221 20927
"869" 221 20928
"870" 221 20929
"871" 221 20930
"872" 222 20925
"873" 222 20926
"874" 222 20927
"875" 222 20928
"876" 222 20929
"877" 222 20930
"878" 223 20928
"879" 223 20929
"880" 223 20930
"881" 231 22185
"882" 231 22186
"883" 231 22187
"884" 231 22188
"885" 231 22189
"886" 231 22190
"887" 231 22191
"888" 231 22192
"889" 231 22193
"890" 231 22194
"891" 231 22195
"892" 231 22196
"893" 232 22197
"894" 232 22198
"895" 232 22199
"896" 232 22200
"897" 232 22201
"898" 232 22202
"899" 233 22197
"900" 233 22198
"901" 233 22199
"902" 233 22200
"903" 233 22201
"904" 233 22202
"905" 235 22203
"906" 235 22204
"907" 235 22205
"908" 239 22826
"909" 239 22827
"910" 239 22828
"911" 239 22829
"912" 239 22830
"913" 239 22831
"914" 239 22832
"915" 239 22833
"916" 239 22834
"917" 239 22835
"918" 239 22836
"919" 239 22837
"920" 240 22974
"921" 240 22975
"922" 240 22976
"923" 240 22977
"924" 240 22978
"925" 240 22979
"926" 240 22980
"927" 240 22981
"928" 240 22982
"929" 240 22983
"930" 240 22984
"931" 240 22985
"932" 241 23518
"933" 241 23519
"934" 241 23520
"935" 241 23521
"936" 241 23522
"937" 241 23523
"938" 243 23590
"939" 243 23591
"940" 243 23592
"941" 243 23593
"942" 243 23594
"943" 243 23595
"944" 243 23596
"945" 243 23597
"946" 243 23598
"947" 245 24253
"948" 245 24254
"949" 245 24255
"950" 246 24608
"951" 246 24609
"952" 246 24610
"953" 246 24611
"954" 246 24612
"955" 246 24613
"956" 246 24614
"957" 246 24615
"958" 246 24616
"959" 246 24617
"960" 246 24618
"961" 246 24619
"962" 247 24617
"963" 247 24618
"964" 247 24619
"965" 249 24803
"966" 249 24804
"967" 249 24805
"968" 249 24806
"969" 249 24807
"970" 249 24808
"971" 250 24803
"972" 250 24804
"973" 250 24805
"974" 250 24806
"975" 250 24807
"976" 250 24808
"977" 250 24809
"978" 250 24810
"979" 250 24811
"980" 251 24806
"981" 251 24807
"982" 251 24808
"983" 251 24809
"984" 251 24810
"985" 251 24811
"986" 251 24812
"987" 251 24813
"988" 251 24814
"989" 252 24821
"990" 252 24822
"991" 252 24823
"992" 255 24901
"993" 255 24902
"994" 255 24903
"995" 255 24904
"996" 255 24905
"997" 255 24906
"998" 255 24907
"999" 255 24908
"1000" 255 24909
"1001" 256 24901
"1002" 256 24902
"1003" 256 24903
"1004" 256 24904
"1005" 256 24905
"1006" 256 24906
"1007" 256 24907
"1008" 256 24908
"1009" 256 24909
"1010" 258 26018
"1011" 258 26019
"1012" 258 26020
"1013" 258 26021
"1014" 258 26022
"1015" 258 26023
"1016" 258 26024
"1017" 258 26025
"1018" 259 26018
"1019" 259 26019
"1020" 259 26020
"1021" 259 26021
"1022" 259 26022
"1023" 259 26023
"1024" 259 26024
"1025" 259 26025
"1026" 259 26026
"1027" 259 26027
"1028" 259 26028
"1029" 259 26029
"1030" 260 26022
"1031" 260 26023
"1032" 260 26024
"1033" 260 26025
"1034" 260 26026
"1035" 260 26027
"1036" 260 26028
"1037" 260 26029
"1038" 264 26206
"1039" 264 26207
"1040" 264 26208
"1041" 264 26209
"1042" 264 26210
"1043" 264 26211
"1044" 265 26357
"1045" 265 26358
"1046" 265 26359
"1047" 265 26360
"1048" 265 26361
"1049" 265 26362
"1050" 265 26363
"1051" 265 26364
"1052" 265 26365
"1053" 266 26357
"1054" 266 26358
"1055" 266 26359
"1056" 266 26360
"1057" 266 26361
"1058" 266 26362
"1059" 266 26363
"1060" 266 26364
"1061" 266 26365
"1062" 267 26895
"1063" 267 26896
"1064" 267 26897
"1065" 267 26898
"1066" 267 26899
"1067" 267 26900
"1068" 267 26901
"1069" 267 26902
"1070" 267 26903
"1071" 268 27575
"1072" 268 27576
"1073" 268 27577
"1074" 268 27578
"1075" 268 27579
"1076" 268 27580
"1077" 269 27575
"1078" 269 27576
"1079" 269 27577
"1080" 269 27578
"1081" 269 27579
"1082" 269 27580
"1083" 269 27581
"1084" 269 27582
"1085" 269 27583
"1086" 269 27584
"1087" 269 27585
"1088" 269 27586
"1089" 270 27575
"1090" 270 27576
"1091" 270 27577
"1092" 270 27578
"1093" 270 27579
"1094" 270 27580
"1095" 270 27581
"1096" 270 27582
"1097" 270 27583
"1098" 270 27584
"1099" 270 27585
"1100" 270 27586
"1101" 270 27587
"1102" 270 27588
"1103" 270 27589
"1104" 271 27678
"1105" 271 27679
"1106" 271 27680
"1107" 271 27681
"1108" 271 27682
"1109" 271 27683
"1110" 272 28330
"1111" 272 28331
"1112" 272 28332
