geneID	sampleID	rlog	sampleName	sampleInfo	Genotype	Replicate	Input	sample
FBtr0077907	Gd7_R1_CBP	5.53448612291659	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0345430	Gd7_R1_CBP	6.10362847020969	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077884	Gd7_R1_CBP	6.33663725651246	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0333543	Gd7_R1_CBP	6.34975752008873	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077885	Gd7_R1_CBP	6.07734921609853	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077886	Gd7_R1_CBP	6.18017322307254	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077903	Gd7_R1_CBP	7.28263975297978	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0473590	Gd7_R1_CBP	3.53217472550117	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330202	Gd7_R1_CBP	7.31063063898304	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330200	Gd7_R1_CBP	6.04776369586023	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0334758	Gd7_R1_CBP	5.4228718127103	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077813	Gd7_R1_CBP	6.73599504353275	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077869	Gd7_R1_CBP	7.68915451811625	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077815	Gd7_R1_CBP	6.62464333875255	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077868	Gd7_R1_CBP	3.24561253127671	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330672	Gd7_R1_CBP	7.01204309835833	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0334778	Gd7_R1_CBP	5.26328654671717	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
